"","V1","V2"
"127","Angola"," Anopheles fuscivenosus"
"128","Angola"," Anopheles gambiae"
"129","Angola"," Anopheles harperi"
"130","Angola"," Anopheles implexus"
"131","Angola"," Anopheles leesoni"
"132","Angola"," Anopheles listeri"
"133","Angola"," Anopheles longipalpis"
"134","Angola"," Anopheles maculipalpis"
"135","Angola"," Anopheles marshallii"
"136","Angola"," Anopheles melas"
"137","Angola"," Anopheles natalensis"
"138","Angola"," Anopheles nili"
"139","Angola"," Anopheles njombiensis"
"140","Angola"," Anopheles obscurus"
"141","Angola"," Anopheles paludis"
"142","Angola"," Anopheles pharoensis"
"143","Angola"," Anopheles pretoriensis"
"144","Angola"," Anopheles rhodesiensis"
"145","Angola"," Anopheles rivulorum"
"146","Angola"," Anopheles ruarinus"
"147","Angola"," Anopheles rufipes"
"148","Angola"," Anopheles schwetzi"
"149","Angola"," Anopheles squamosus"
"150","Angola"," Anopheles tchekedii"
"151","Angola"," Anopheles tenebrosus"
"152","Angola"," Anopheles theileri"
"153","Angola"," Anopheles walravensi"
"154","Angola"," Anopheles wellcomei"
"155","Angola"," Anopheles ziemanni"
"156","Angola"," Catageiomyia hopkinsi"
"157","Angola"," Catageiomyia insolens"
"158","Angola"," Catageiomyia irritans"
"159","Angola"," Catageiomyia minuta"
"160","Angola"," Catageiomyia tarsalis"
"161","Angola"," Catageiomyia yangambiensis"
"162","Angola"," Cellia wellcomei ugandae"
"163","Angola"," Coquillettidia aurea"
"164","Angola"," Coquillettidia aurites"
"165","Angola"," Coquillettidia cristata"
"166","Angola"," Coquillettidia flavocincta"
"167","Angola"," Coquillettidia fraseri"
"168","Angola"," Coquillettidia fuscopennata"
"169","Angola"," Coquillettidia metallica"
"170","Angola"," Coquillettidia nigrithorax"
"171","Angola"," Culex annulioris"
"172","Angola"," Culex antennatus"
"173","Angola"," Culex argenteopunctatus kingii"
"174","Angola"," Culex cambournaci"
"175","Angola"," Culex cinerellus"
"176","Angola"," Culex cinereus"
"177","Angola"," Culex decens"
"178","Angola"," Culex duttoni"
"179","Angola"," Culex grahamii"
"180","Angola"," Culex horridus"
"181","Angola"," Culex inconspicuosus"
"182","Angola"," Culex neavei"
"183","Angola"," Culex pajoti"
"184","Angola"," Culex quinquefasciatus"
"185","Angola"," Culex quintetti"
"186","Angola"," Culex rubinotus"
"187","Angola"," Culex tamsi"
"188","Angola"," Culex telesilla"
"189","Angola"," Culex thalassius"
"190","Angola"," Culex tritaeniorhynchus"
"191","Angola"," Culex univittatus"
"192","Angola"," Culex watti"
"193","Angola"," Culex zombaensis"
"194","Angola"," Diceromyia fascipalpis"
"195","Angola"," Eretmapodites angolensis"
"196","Angola"," Eretmapodites dundo"
"197","Angola"," Eretmapodites mortiauxi"
"198","Angola"," Eretmapodites tendeiroi"
"199","Angola"," Ficalbia malfeyti"
"200","Angola"," Ficalbia uniformis"
"201","Angola"," Fredwardsius vittatus"
"202","Angola"," Hopkinsius wellmanii"
"203","Angola"," Mansonia africana"
"204","Angola"," Mansonia uniformis"
"205","Angola"," Mimomyia plumosa"
"206","Angola"," Neomelaniconion albothorax"
"207","Angola"," Neomelaniconion circumluteolum"
"208","Angola"," Neomelaniconion mcintoshi"
"209","Angola"," Ochlerotatus caballus"
"210","Angola"," Polyleptiomyia albocephala"
"211","Angola"," Stegomyia aegypti"
"212","Angola"," Stegomyia aegypti formosus"
"213","Angola"," Stegomyia africana"
"214","Angola"," Stegomyia angusta"
"215","Angola"," Stegomyia apicoargentea"
"216","Angola"," Stegomyia bromeliae"
"217","Angola"," Stegomyia calceata"
"218","Angola"," Stegomyia dendrophilus"
"219","Angola"," Stegomyia luteocephala"
"220","Angola"," Stegomyia metallica"
"221","Angola"," Stegomyia pseudonigeria"
"222","Angola"," Stegomyia soleata"
"223","Angola"," Stegomyia unilineata"
"224","Angola"," Toxorhynchites angolensis"
"225","Angola"," Toxorhynchites brevipalpis"
"226","Angola"," Toxorhynchites dundo"
"227","Angola"," Toxorhynchites helenae"
"228","Angola"," Uranotaenia alba"
"229","Angola"," Uranotaenia alboabdominalis"
"230","Angola"," Uranotaenia angolensis"
"231","Angola"," Uranotaenia balfouri"
"232","Angola"," Uranotaenia bilineata"
"233","Angola"," Uranotaenia caeruleocephala"
"234","Angola"," Uranotaenia caliginosa"
"235","Angola"," Uranotaenia cavernicola"
"236","Angola"," Uranotaenia chorleyi"
"237","Angola"," Uranotaenia connali"
"238","Angola"," Uranotaenia fraseri"
"239","Angola"," Uranotaenia fusca"
"240","Angola"," Uranotaenia henriquei"
"241","Angola"," Uranotaenia lunda"
"242","Angola"," Uranotaenia machadoi"
"243","Angola"," Uranotaenia mashonaensis"
"244","Angola"," Uranotaenia mayeri"
"245","Angola"," Uranotaenia nigromaculata"
"246","Angola"," Uranotaenia ornata"
"247","Angola"," Uranotaenia pallidocephala"
"248","Angola"," Uranotaenia palmeirimi"
"249","Angola"," Uranotaenia palmeirimi dundo"
"250","Angola"," Uranotaenia ramosa"
"251","Angola"," Uranotaenia signata"
"252","Angola"," Vansomerenis luteostriata"
"253","Angola"," Zavortinkius fulgens"
"254","Anguilla","Culex eduardoi"
"255","Anguilla"," Culex nigripalpus"
"256","Anguilla"," Culex quinquefasciatus"
"257","Anguilla"," Ochlerotatus taeniorhynchus"
"258","Anguilla"," Psorophora holmbergii"
"259","Anguilla"," Psorophora pallescens"
"260","Anguilla"," Psorophora varinervis"
"261","Anguilla"," Stegomyia aegypti"
"262","Antigua and Barbuda","Anopheles albimanus"
"263","Antigua and Barbuda"," Anopheles aquasalis"
"264","Antigua and Barbuda"," Anopheles argyritarsis"
"265","Antigua and Barbuda"," Anopheles pseudopunctipennis"
"266","Antigua and Barbuda"," Culex americanus"
"267","Antigua and Barbuda"," Culex atratus"
"268","Antigua and Barbuda"," Culex babahoyensis"
"269","Antigua and Barbuda"," Culex bisulcatus"
"270","Antigua and Barbuda"," Culex coronator"
"271","Antigua and Barbuda"," Culex declarator"
"272","Antigua and Barbuda"," Culex habilitator"
"273","Antigua and Barbuda"," Culex nigripalpus"
"274","Antigua and Barbuda"," Culex quinquefasciatus"
"275","Antigua and Barbuda"," Deinocerites magnus"
"276","Antigua and Barbuda"," Mansonia titillans"
"277","Antigua and Barbuda"," Ochlerotatus serratus"
"278","Antigua and Barbuda"," Ochlerotatus taeniorhynchus"
"279","Antigua and Barbuda"," Ochlerotatus tortilis"
"280","Antigua and Barbuda"," Psorophora pygmaea"
"281","Antigua and Barbuda"," Stegomyia aegypti"
"282","Antigua and Barbuda"," Uranotaenia apicalis"
"283","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)","Culex atratus"
"284","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Culex chidesteri"
"285","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Culex conservator"
"286","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Culex declarator"
"287","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Culex habilitator"
"288","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Culex inflictus"
"289","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Culex maracayensis"
"290","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Culex secutor"
"291","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Haemagogus splendens"
"292","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Howardina busckii"
"293","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Sabethes cyaneus"
"294","Antilles, Lesser (see also St. Kitts, St. Lucian, St. Vincent and the Grenadines)"," Wyeomyia melanocephala"
"295","Argentina","Aedeomyia squamipennis"
"296","Argentina"," Anopheles albitarsis"
"297","Argentina"," Anopheles annulipalpis"
"298","Argentina"," Anopheles antunesi"
"299","Argentina"," Anopheles argyritarsis"
"300","Argentina"," Anopheles bambusicolus"
"301","Argentina"," Anopheles cruzii"
"302","Argentina"," Anopheles darlingi"
"303","Argentina"," Anopheles deaneorum"
"304","Argentina"," Anopheles evandroi"
"305","Argentina"," Anopheles evansae"
"306","Argentina"," Anopheles fluminensis"
"307","Argentina"," Anopheles laneanus"
"308","Argentina"," Anopheles lutzii"
"309","Argentina"," Anopheles maculipes"
"310","Argentina"," Anopheles minor"
"311","Argentina"," Anopheles neomaculipalpus"
"312","Argentina"," Anopheles nigritarsis"
"313","Argentina"," Anopheles oswaldoi"
"314","Argentina"," Anopheles parvus"
"315","Argentina"," Anopheles pictipennis"
"316","Argentina"," Anopheles pseudopunctipennis"
"317","Argentina"," Anopheles pseudopunctipennis patersoni"
"318","Argentina"," Anopheles punctimacula"
"319","Argentina"," Anopheles rondoni"
"320","Argentina"," Anopheles strodei"
"321","Argentina"," Anopheles tibiamaculatus"
"322","Argentina"," Anopheles triannulatus"
"323","Argentina"," Chagasia fajardi"
"324","Argentina"," Coquillettidia chrysonotum"
"325","Argentina"," Coquillettidia fasciolata"
"326","Argentina"," Coquillettidia hermanoi"
"327","Argentina"," Coquillettidia juxtamansonia"
"328","Argentina"," Coquillettidia nigricans"
"329","Argentina"," Coquillettidia shannoni"
"330","Argentina"," Coquillettidia venezuelensis"
"331","Argentina"," Culex acharistus"
"332","Argentina"," Culex airozai"
"333","Argentina"," Culex aliciae"
"334","Argentina"," Culex ameliae"
"335","Argentina"," Culex apicinus"
"336","Argentina"," Culex articularis"
"337","Argentina"," Culex bastagarius"
"338","Argentina"," Culex bejaranoi"
"339","Argentina"," Culex bidens"
"340","Argentina"," Culex brethesi"
"341","Argentina"," Culex castroi"
"342","Argentina"," Culex chaguanco"
"343","Argentina"," Culex chidesteri"
"344","Argentina"," Culex clarki"
"345","Argentina"," Culex coronator"
"346","Argentina"," Culex cuyanus"
"347","Argentina"," Culex delpontei"
"348","Argentina"," Culex dolosus"
"349","Argentina"," Culex dureti"
"350","Argentina"," Culex eduardoi"
"351","Argentina"," Culex educator"
"352","Argentina"," Culex elevator"
"353","Argentina"," Culex fernandezi"
"354","Argentina"," Culex glyptosalpinx"
"355","Argentina"," Culex hepperi"
"356","Argentina"," Culex idottus"
"357","Argentina"," Culex imitator"
"358","Argentina"," Culex interfor"
"359","Argentina"," Culex intrincatus"
"360","Argentina"," Culex lahillei"
"361","Argentina"," Culex lucifugus"
"362","Argentina"," Culex martinezi"
"363","Argentina"," Culex maxi"
"364","Argentina"," Culex misionensis"
"365","Argentina"," Culex mollis"
"366","Argentina"," Culex nigripalpus"
"367","Argentina"," Culex oblita"
"368","Argentina"," Culex ocossa"
"369","Argentina"," Culex oedipus"
"370","Argentina"," Culex orfilai"
"371","Argentina"," Culex pavlovskyi"
"372","Argentina"," Culex pedroi"
"373","Argentina"," Culex pilosus"
"374","Argentina"," Culex pipiens"
"375","Argentina"," Culex plectoporpe"
"376","Argentina"," Culex quinquefasciatus"
"377","Argentina"," Culex rabelloi"
"378","Argentina"," Culex riojanus"
"379","Argentina"," Culex rooti"
"380","Argentina"," Culex saltanensis"
"381","Argentina"," Culex scheuberi"
"382","Argentina"," Culex serratimarge"
"383","Argentina"," Culex soperi"
"384","Argentina"," Culex taeniopus"
"385","Argentina"," Culex tatoi"
"386","Argentina"," Culex theobaldi"
"387","Argentina"," Culex tramazayguesi"
"388","Argentina"," Culex usquatus"
"389","Argentina"," Culex vaxus"
"390","Argentina"," Georgecraigius fluviatilis"
"391","Argentina"," Haemagogus janthinomys"
"392","Argentina"," Haemagogus leucocelaenus"
"393","Argentina"," Haemagogus spegazzinii"
"394","Argentina"," Howardina martinezi"
"395","Argentina"," Howardina pseudodominicii"
"396","Argentina"," Isostomyia espini"
"397","Argentina"," Isostomyia paranensis"
"398","Argentina"," Limatus durhamii"
"399","Argentina"," Lutzia bigoti"
"400","Argentina"," Lynchiella haemorrhoidalis separatus"
"401","Argentina"," Mansonia flaveola"
"402","Argentina"," Mansonia humeralis"
"403","Argentina"," Mansonia indubitans"
"404","Argentina"," Mansonia pseudotitillans"
"405","Argentina"," Mansonia titillans"
"406","Argentina"," Ochlerotatus albifasciatus"
"407","Argentina"," Ochlerotatus crinifer"
"408","Argentina"," Ochlerotatus fulvus"
"409","Argentina"," Ochlerotatus hastatus"
"410","Argentina"," Ochlerotatus jorgi"
"411","Argentina"," Ochlerotatus meprai"
"412","Argentina"," Ochlerotatus milleri"
"413","Argentina"," Ochlerotatus nubilus"
"414","Argentina"," Ochlerotatus oligopistus"
"415","Argentina"," Ochlerotatus patersoni"
"416","Argentina"," Ochlerotatus raymondi"
"417","Argentina"," Ochlerotatus scapularis"
"418","Argentina"," 'Ochlerotatus' sensu auctorum casali"
"419","Argentina"," Ochlerotatus serratus"
"420","Argentina"," Ochlerotatus stigmaticus"
"421","Argentina"," Ochlerotatus synchytus"
"422","Argentina"," Ochlerotatus taeniorhynchus"
"423","Argentina"," Ochlerotatus tortilis"
"424","Argentina"," Onirion brucei"
"425","Argentina"," Onirion personatum"
"426","Argentina"," Orthopodomyia peytoni"
"427","Argentina"," Orthopodomyia sampaioi"
"428","Argentina"," Psorophora albigenu"
"429","Argentina"," Psorophora albipes"
"430","Argentina"," Psorophora ciliata"
"431","Argentina"," Psorophora cilipes"
"432","Argentina"," Psorophora cingulata"
"433","Argentina"," Psorophora confinnis"
"434","Argentina"," Psorophora cyanescens"
"435","Argentina"," Psorophora dimidiata"
"436","Argentina"," Psorophora discrucians"
"437","Argentina"," Psorophora ferox"
"438","Argentina"," Psorophora holmbergii"
"439","Argentina"," Psorophora lutzii"
"440","Argentina"," Psorophora ochripes"
"441","Argentina"," Psorophora pallescens"
"442","Argentina"," Psorophora paulli"
"443","Argentina"," Psorophora saeva"
"444","Argentina"," Psorophora varinervis"
"445","Argentina"," Runchomyia frontosa"
"446","Argentina"," Runchomyia reversa"
"447","Argentina"," Sabethes albiprivus"
"448","Argentina"," Sabethes aurescens"
"449","Argentina"," Sabethes belisarioi"
"450","Argentina"," Sabethes chloropterus"
"451","Argentina"," Sabethes cyaneus"
"452","Argentina"," Sabethes identicus"
"453","Argentina"," Sabethes intermedius"
"454","Argentina"," Sabethes melanonymphe"
"455","Argentina"," Sabethes petrocchiae"
"456","Argentina"," Sabethes purpureus"
"457","Argentina"," Sabethes soperi"
"458","Argentina"," Shannoniana fluviatilis"
"459","Argentina"," Stegomyia aegypti"
"460","Argentina"," Stegomyia albopicta"
"461","Argentina"," Toxorhynchites cavalierii"
"462","Argentina"," Toxorhynchites guadeloupensis"
"463","Argentina"," Toxorhynchites haemorrhoidalis"
"464","Argentina"," Toxorhynchites solstitialis"
"465","Argentina"," Trichoprosopon compressum"
"466","Argentina"," Trichoprosopon obscurum"
"467","Argentina"," Trichoprosopon pallidiventer"
"468","Argentina"," Uranotaenia apicalis"
"469","Argentina"," Uranotaenia davisi"
"470","Argentina"," Uranotaenia ditaenionota"
"471","Argentina"," Uranotaenia geometrica"
"472","Argentina"," Uranotaenia lanei"
"473","Argentina"," Uranotaenia lowii"
"474","Argentina"," Uranotaenia nataliae"
"475","Argentina"," Uranotaenia pulcherrima"
"476","Argentina"," Uranotaenia pulcherrima elnora"
"477","Argentina"," Wyeomyia aphobema"
"478","Argentina"," Wyeomyia aporonoma"
"479","Argentina"," Wyeomyia lateralis"
"480","Argentina"," Wyeomyia leucostigma"
"481","Argentina"," Wyeomyia limai"
"482","Argentina"," Wyeomyia melanocephala"
"483","Argentina"," Wyeomyia muehlensi"
"484","Argentina"," Wyeomyia quasilongirostris"
"485","Argentina"," Wyeomyia sabethea"
"486","Argentina"," Wyeomyia serratoria"
"487","Argentina"," Wyeomyia tripartita"
"488","Armenia","Anopheles claviger"
"489","Armenia"," Anopheles hyrcanus"
"490","Armenia"," Anopheles maculipennis"
"491","Armenia"," Anopheles sacharovi"
"492","Armenia"," Anopheles superpictus"
"493","Armenia"," Culex pipiens"
"494","Armenia"," Culiseta alaskaensis indica"
"495","Armenia"," Culiseta annulata"
"496","Armenia"," Culiseta fumipennis"
"497","Armenia"," Culiseta morsitans"
"498","Armenia"," Uranotaenia unguiculata"
"499","Australia","Aedeomyia catasticta"
"500","Australia"," Aedeomyia venustipes"
"501","Australia"," Aedimorphus alboscutellatus"
"502","Australia"," Aedimorphus vexans"
"503","Australia"," Aedimorphus vexans nocturnus"
"504","Australia"," Anopheles amictus"
"505","Australia"," Anopheles annulipes"
"506","Australia"," Anopheles atratipes"
"507","Australia"," Anopheles bancroftii"
"508","Australia"," Anopheles colledgei"
"509","Australia"," Anopheles corethroides"
"510","Australia"," Anopheles farauti"
"511","Australia"," Anopheles hilli"
"512","Australia"," Anopheles hinesorum"
"513","Australia"," Anopheles longirostris"
"514","Australia"," Anopheles meraukensis"
"515","Australia"," Anopheles novaguinensis"
"516","Australia"," Anopheles powelli"
"517","Australia"," Anopheles pseudobarbirostris"
"518","Australia"," Anopheles pseudostigmaticus"
"519","Australia"," Anopheles punctulatus"
"520","Australia"," Anopheles stigmaticus"
"521","Australia"," Anopheles subpictus"
"522","Australia"," Anopheles tasmaniensis"
"523","Australia"," Anopheles torresiensis"
"524","Australia"," Armigeres breinli"
"525","Australia"," Bironella gracilis"
"526","Australia"," Bironella papuae"
"527","Australia"," Bironella simmondsi"
"528","Australia"," Coquillettidia aurata"
"529","Australia"," Coquillettidia crassipes"
"530","Australia"," Coquillettidia giblini"
"531","Australia"," Coquillettidia linealis"
"532","Australia"," Coquillettidia memorans"
"533","Australia"," Coquillettidia variegata"
"534","Australia"," Coquillettidia xanthogaster"
"535","Australia"," Culex annulirostris"
"536","Australia"," Culex australicus"
"537","Australia"," Culex bitaeniorhynchus"
"538","Australia"," Culex cairnsensis"
"539","Australia"," Culex chaetoventralis"
"540","Australia"," Culex crinicauda"
"541","Australia"," Culex cubiculi"
"542","Australia"," Culex cylindricus"
"543","Australia"," Culex douglasi"
"544","Australia"," Culex edwardsi"
"545","Australia"," Culex fergusoni"
"546","Australia"," Culex fraudatrix"
"547","Australia"," Culex globocoxitus"
"548","Australia"," Culex hilli"
"549","Australia"," Culex insequens"
"550","Australia"," Culex iyengari"
"551","Australia"," Culex latus"
"552","Australia"," Culex leonardi"
"553","Australia"," Culex mimulus"
"554","Australia"," Culex orbostiensis"
"555","Australia"," Culex palpalis"
"556","Australia"," Culex pervigilans"
"557","Australia"," Culex pipiens"
"558","Australia"," Culex postspiraculosus"
"559","Australia"," Culex pseudomelanoconia"
"560","Australia"," Culex pullus"
"561","Australia"," Culex quinquefasciatus"
"562","Australia"," Culex sinensis"
"563","Australia"," Culex sitiens"
"564","Australia"," Culex squamosus"
"565","Australia"," Culex starckeae"
"566","Australia"," Culex vicinus"
"567","Australia"," Culex whitmorei"
"568","Australia"," Culex winkleri"
"569","Australia"," Culiseta antipodea"
"570","Australia"," Culiseta arenivaga"
"571","Australia"," Culiseta atra"
"572","Australia"," Culiseta drummondi"
"573","Australia"," Culiseta frenchii"
"574","Australia"," Culiseta hilli"
"575","Australia"," Culiseta inconspicua"
"576","Australia"," Culiseta littleri"
"577","Australia"," Culiseta otwayensis"
"578","Australia"," Culiseta sylvanensis"
"579","Australia"," Culiseta victoriensis"
"580","Australia"," Culiseta weindorferi"
"581","Australia"," Dobrotworskyius alboannulatus"
"582","Australia"," Dobrotworskyius milsoni"
"583","Australia"," Dobrotworskyius occidentalis"
"584","Australia"," Dobrotworskyius rubrithorax"
"585","Australia"," Dobrotworskyius rupestris"
"586","Australia"," Dobrotworskyius subbasalis"
"587","Australia"," Dobrotworskyius tubbutiensis"
"588","Australia"," Edwardsaedes imprimens"
"589","Australia"," Ficalbia minima"
"590","Australia"," Finlaya alocasicola"
"591","Australia"," Finlaya dobrotworskyi"
"592","Australia"," Finlaya gahnicola"
"593","Australia"," Finlaya josephinae"
"594","Australia"," Finlaya kochi"
"595","Australia"," Finlaya wallacei"
"596","Australia"," Halaedes ashworthi"
"597","Australia"," Halaedes australis"
"598","Australia"," Halaedes wardangensis"
"599","Australia"," Hodgesia cairnsensis"
"600","Australia"," Hodgesia quasisanguinae"
"601","Australia"," Hodgesia solomonis"
"602","Australia"," Leptosomatomyia aurimargo"
"603","Australia"," Lorrainea dasyorrhus"
"604","Australia"," Lutzia halifaxii"
"605","Australia"," Macleaya calabyi"
"606","Australia"," Macleaya elchoensis"
"607","Australia"," Macleaya humeralis"
"608","Australia"," Macleaya littlechildi"
"609","Australia"," Macleaya macmillani"
"610","Australia"," Macleaya moloiensis"
"611","Australia"," Macleaya spinosipes"
"612","Australia"," Macleaya stoneorum"
"613","Australia"," Macleaya tremula"
"614","Australia"," Macleaya tulliae"
"615","Australia"," Macleaya wattensis"
"616","Australia"," Malaya genurostris"
"617","Australia"," Malaya leei"
"618","Australia"," Mansonia annulifera"
"619","Australia"," Mansonia melanesiensis"
"620","Australia"," Mansonia papuensis"
"621","Australia"," Mansonia septempunctata"
"622","Australia"," Mansonia uniformis"
"623","Australia"," Mimomyia chamberlaini"
"624","Australia"," Mimomyia chamberlaini metallica"
"625","Australia"," Mimomyia elegans"
"626","Australia"," Molpemyia auridorsum"
"627","Australia"," Molpemyia pecuniosa"
"628","Australia"," Molpemyia purpurea"
"629","Australia"," Mucidus alternans"
"630","Australia"," Mucidus aurantius"
"631","Australia"," Neomelaniconion lineatopenne"
"632","Australia"," Neomelaniconion mcintoshi"
"633","Australia"," Neotheobaldia frenchii atritarsalis"
"634","Australia"," Ochlerotatus aculeatus"
"635","Australia"," Ochlerotatus andersoni"
"636","Australia"," Ochlerotatus bancroftianus"
"637","Australia"," Ochlerotatus burpengaryensis"
"638","Australia"," Ochlerotatus cacozelus"
"639","Australia"," Ochlerotatus calcariae"
"640","Australia"," Ochlerotatus camptorhynchus"
"641","Australia"," Ochlerotatus clelandi"
"642","Australia"," Ochlerotatus continentalis"
"643","Australia"," Ochlerotatus culiciformis"
"644","Australia"," Ochlerotatus cunabulanus"
"645","Australia"," Ochlerotatus daliensis"
"646","Australia"," Ochlerotatus eidsvoldensis"
"647","Australia"," Ochlerotatus explorator"
"648","Australia"," Ochlerotatus flavifrons"
"649","Australia"," Ochlerotatus hesperonotius"
"650","Australia"," Ochlerotatus hodgkini"
"651","Australia"," Ochlerotatus imperfectus"
"652","Australia"," Ochlerotatus linesi"
"653","Australia"," Ochlerotatus luteifemur"
"654","Australia"," Ochlerotatus macintoshi"
"655","Australia"," Ochlerotatus multiplex"
